tag,wav,cold_s,warm_median_s,wer,cer,transcript,reference
cuda_medium_float16_beam5,money_math.wav,6.348,6.301,0.4286,0.3713, Inflation rose 2.7% last quarter.  A dozen eggs costs $4.99 at the local store.  The budget deficit reached $1.2 trillion.,Inflation rose two point seven percent last quarter. A dozen eggs costs four ninety nine at the local store. The budget deficit reached one point two trillion dollars.
cuda_medium_float16_beam5,numbers_times.wav,5.607,5.553,0.4,0.4627, The total comes to $3.50.  The meeting is at 7.30 in the morning.  She was born in 1984.,The total comes to three dollars and fifty cents. The meeting is at seven thirty in the morning. She was born in nineteen eighty four.
cuda_medium_float16_beam5,proper_nouns.wav,6.479,6.545,0.0714,0.0157," Burkina Faso, Eritrea, Kazakhstan, Kyrgyzstan, Liechtenstein, Mozambique, Turkmenistan and  Zimbabwe are all sovereign nations.","Burkina Faso, Eritrea, Kazakhstan, Kyrgyzstan, Liechtenstein, Mozambique, Turkmenistan, and Zimbabwe are all sovereign nations."
cuda_medium_float16_beam5,year_2026.wav,4.41,4.405,0.3077,0.3235, The year 2000 and 26 has been quite eventful so far.,The year two thousand and twenty six has been quite eventful so far.
cuda_large-v3_float16_beam1,commands_lights.wav,15.654,14.365,0.0,0.0, Turn off the living room lights please.,Turn off the living room lights please.
cuda_large-v3_float16_beam1,commands_medium.wav,14.674,14.603,0.0,0.0, What is the weather like in San Francisco today?,What is the weather like in San Francisco today?
cuda_large-v3_float16_beam1,commands_short.wav,14.192,14.34,0.1667,0.1379, Set a timer for 5 minutes.,Set a timer for five minutes.
cuda_large-v3_float16_beam1,countries.wav,24.252,24.098,0.087,0.0415," Name 20 countries. Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary, India,  Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden, Thailand.","Name twenty countries: Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary, India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden, Thailand."
cuda_large-v3_float16_beam1,hen_story.wav,26.609,26.784,0.0,0.0089," Once upon a time, a little red hen found a grain of wheat.  She asked the dog, the cat, and the duck who would help her plant it, but they all refused.  So she planted it herself, and in due time the wheat grew tall and golden.","Once upon a time, a little red hen found a grain of wheat. She asked the dog, the cat, and the duck who would help her plant it, but they all refused. So she planted it herself, and in due time the wheat grew tall and golden."
cuda_large-v3_float16_beam1,mixed_hard.wav,17.508,17.577,0.5263,0.4141," On 12 February 2025, Kyrgyzstan and Liechtenstein signed a treaty worth $800 million.","On the twelfth of February twenty twenty five, Kyrgyzstan and Liechtenstein signed a treaty worth eight hundred million dollars."
cuda_large-v3_float16_beam1,money_math.wav,21.585,20.849,0.4286,0.3713, Inflation rose 2.7% last quarter.  A dozen eggs costs $4.99 at the local store.  The budget deficit reached $1.2 trillion.,Inflation rose two point seven percent last quarter. A dozen eggs costs four ninety nine at the local store. The budget deficit reached one point two trillion dollars.
cuda_large-v3_float16_beam1,numbers_times.wav,19.482,18.276,0.4,0.4627, The total comes to $3.50.  The meeting is at 7.30 in the morning.  She was born in 1984.,The total comes to three dollars and fifty cents. The meeting is at seven thirty in the morning. She was born in nineteen eighty four.
cuda_large-v3_float16_beam1,proper_nouns.wav,19.503,19.41,0.0,0.0079," Burkina Faso, Eritrea, Kazakhstan, Kyrgyzstan, Liechtenstein, Mozambique, Turkmenistan,  and Zimbabwe are all sovereign nations.","Burkina Faso, Eritrea, Kazakhstan, Kyrgyzstan, Liechtenstein, Mozambique, Turkmenistan, and Zimbabwe are all sovereign nations."
cuda_large-v3_float16_beam1,year_2026.wav,12.967,11.041,0.3846,0.3971, the year 2026 has been quite eventful so far.,The year two thousand and twenty six has been quite eventful so far.
cuda_large-v3_float16_beam5,commands_lights.wav,7.531,7.84,0.0,0.0, Turn off the living room lights please.,Turn off the living room lights please.
cuda_large-v3_float16_beam5,commands_medium.wav,7.938,7.943,0.0,0.0, What is the weather like in San Francisco today?,What is the weather like in San Francisco today?
cuda_large-v3_float16_beam5,commands_short.wav,7.553,7.514,0.1667,0.1379, Set a timer for 5 minutes.,Set a timer for five minutes.
cuda_large-v3_float16_beam5,countries.wav,13.733,10.166,0.087,0.0415," Name 20 countries. Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary, India,  Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden, Thailand.","Name twenty countries: Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary, India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden, Thailand."
cuda_large-v3_float16_beam5,hen_story.wav,7.927,7.976,0.0,0.0089," Once upon a time, a little red hen found a grain of wheat.  She asked the dog, the cat, and the duck who would help her plant it, but they all refused.  So she planted it herself, and in due time the wheat grew tall and golden.","Once upon a time, a little red hen found a grain of wheat. She asked the dog, the cat, and the duck who would help her plant it, but they all refused. So she planted it herself, and in due time the wheat grew tall and golden."
cuda_large-v3_float16_beam5,mixed_hard.wav,5.065,5.028,0.5263,0.4141," On 12 February 2025, Kyrgyzstan and Liechtenstein signed a treaty worth $800 million.","On the twelfth of February twenty twenty five, Kyrgyzstan and Liechtenstein signed a treaty worth eight hundred million dollars."
cuda_large-v3_float16_beam5,money_math.wav,6.23,6.285,0.3929,0.3174, Inflation rose 2.7 percent last quarter. A dozen eggs costs $4.99 at the local store.  The budget deficit reached $1.2 trillion.,Inflation rose two point seven percent last quarter. A dozen eggs costs four ninety nine at the local store. The budget deficit reached one point two trillion dollars.
cuda_large-v3_float16_beam5,numbers_times.wav,5.657,5.661,0.4,0.4627, The total comes to $3.50.  The meeting is at 7.30 in the morning.  She was born in 1984.,The total comes to three dollars and fifty cents. The meeting is at seven thirty in the morning. She was born in nineteen eighty four.
cuda_large-v3_float16_beam5,proper_nouns.wav,6.668,6.605,0.0,0.0079," Burkina Faso, Eritrea, Kazakhstan, Kyrgyzstan, Liechtenstein, Mozambique, Turkmenistan,  and Zimbabwe are all sovereign nations.","Burkina Faso, Eritrea, Kazakhstan, Kyrgyzstan, Liechtenstein, Mozambique, Turkmenistan, and Zimbabwe are all sovereign nations."
cuda_large-v3_float16_beam5,year_2026.wav,4.257,4.276,0.3846,0.3971, the year 2026 has been quite eventful so far.,The year two thousand and twenty six has been quite eventful so far.
cpu_tiny_int8_beam1,commands_lights.wav,0.585,0.486,0.1429,0.0256," Turn off the living room lights, please.",Turn off the living room lights please.
cpu_tiny_int8_beam1,commands_medium.wav,0.46,0.468,0.0,0.0, What is the weather like in San Francisco today?,What is the weather like in San Francisco today?
cpu_tiny_int8_beam1,commands_short.wav,0.451,0.443,0.0,0.0, Set a timer for five minutes.,Set a timer for five minutes.
cpu_tiny_int8_beam1,countries.wav,0.629,0.629,0.087,0.057," Name 20 countries.  Afghanistan, Brazil, Canada, Denmark, Egypt, Finland,  Germany, Hungary, India, Japan, Kenya, Lithuania,  Mexico, Nigeria, Oman, Portugal, Qatar, Romania,  Sweden, Thailand.","Name twenty countries: Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary, India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden, Thailand."
cpu_tiny_int8_beam1,hen_story.wav,0.631,0.65,0.0426,0.0133," Once upon a time, a little red-hen found a grain of wheat.  She asked the dog, the cat, and the duck who would help her plant it, but they all refused.  So she planted it herself, and in due time the wheat grew tall and golden.","Once upon a time, a little red hen found a grain of wheat. She asked the dog, the cat, and the duck who would help her plant it, but they all refused. So she planted it herself, and in due time the wheat grew tall and golden."
cpu_tiny_int8_beam1,mixed_hard.wav,0.512,0.537,0.4737,0.3516," On the 12th of February 2025, Kyrgyzstan and Lichtenstein signed a treaty worth $800 million.","On the twelfth of February twenty twenty five, Kyrgyzstan and Liechtenstein signed a treaty worth eight hundred million dollars."
cpu_tiny_int8_beam1,money_math.wav,0.58,0.566,0.4643,0.3772, Inflation rose 2.7% last quarter.  A dozen eggs cost 4.99 at the local store.  The budget deficit reached $1.2 trillion.,Inflation rose two point seven percent last quarter. A dozen eggs costs four ninety nine at the local store. The budget deficit reached one point two trillion dollars.
cpu_tiny_int8_beam1,numbers_times.wav,0.565,0.547,0.4,0.4627, The total comes to $3.50.  The meeting is at 7.30 in the morning.  She was born in 1984.,The total comes to three dollars and fifty cents. The meeting is at seven thirty in the morning. She was born in nineteen eighty four.
cpu_tiny_int8_beam1,proper_nouns.wav,0.595,0.582,0.1429,0.0394," Burkina Faso, Eritrea, Kazakhstan, Kyrdgaston, Lichtenstein, Mozambique, Turkmenistan, and Zimbabwe are all sovereign nations.","Burkina Faso, Eritrea, Kazakhstan, Kyrgyzstan, Liechtenstein, Mozambique, Turkmenistan, and Zimbabwe are all sovereign nations."
cpu_tiny_int8_beam1,year_2026.wav,0.503,0.485,0.3077,0.3235, The year 2000 and 26 has been quite eventful so far.,The year two thousand and twenty six has been quite eventful so far.
cpu_base_int8_beam1,commands_lights.wav,0.77,0.806,0.0,0.0, Turn off the living room lights please.,Turn off the living room lights please.
cpu_base_int8_beam1,commands_medium.wav,0.824,0.813,0.0,0.0, What is the weather like in San Francisco today?,What is the weather like in San Francisco today?
cpu_base_int8_beam1,commands_short.wav,0.804,0.799,0.1667,0.1379, Set a timer for 5 minutes.,Set a timer for five minutes.
cpu_base_int8_beam1,countries.wav,1.079,1.074,0.087,0.0466," Name 20 countries. Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary,  India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden,  Thailand.","Name twenty countries: Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary, India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden, Thailand."
cpu_base_int8_beam1,hen_story.wav,1.158,1.149,0.0213,0.0222," Once upon a time, a little red hen found a grain of wheat.  She asked the dog, the cat, and the duck who would help her plant it,  but they all refused.  So she planted it herself, and in due time,  the wheat grew tall and golden.","Once upon a time, a little red hen found a grain of wheat. She asked the dog, the cat, and the duck who would help her plant it, but they all refused. So she planted it herself, and in due time the wheat grew tall and golden."
cpu_base_int8_beam1,mixed_hard.wav,0.92,0.917,0.5263,0.3906," On the 12th of February 2025,  Courgaston and Lichtenstein signed a treaty worth $800 million.","On the twelfth of February twenty twenty five, Kyrgyzstan and Liechtenstein signed a treaty worth eight hundred million dollars."
cpu_base_int8_beam1,money_math.wav,0.992,0.988,0.4286,0.3713, Inflation rose 2.7% last quarter.  A dozen eggs costs $4.99 at the local store.  The budget deficit reached $1.2 trillion.,Inflation rose two point seven percent last quarter. A dozen eggs costs four ninety nine at the local store. The budget deficit reached one point two trillion dollars.
cpu_base_int8_beam1,numbers_times.wav,0.966,0.944,0.4,0.4627, The total comes to $3.50.  The meeting is at 7.30 in the morning.  She was born in 1984.,The total comes to three dollars and fifty cents. The meeting is at seven thirty in the morning. She was born in nineteen eighty four.
cpu_base_int8_beam1,proper_nouns.wav,1.021,1.019,0.1429,0.0866," Burkina Faso, Eritrea, Kazakhstan, Kurdistan,  Lyftinstein, Mozambique, Turkmenistan,  and Zimbabwe are all sovereign nations.","Burkina Faso, Eritrea, Kazakhstan, Kyrgyzstan, Liechtenstein, Mozambique, Turkmenistan, and Zimbabwe are all sovereign nations."
cpu_base_int8_beam1,year_2026.wav,0.851,0.845,0.3077,0.3235, The year 2000 and 26 has been quite eventful so far.,The year two thousand and twenty six has been quite eventful so far.
cpu_small_int8_beam1,commands_lights.wav,2.393,2.292,0.0,0.0, Turn off the living room lights please.,Turn off the living room lights please.
cpu_small_int8_beam1,commands_medium.wav,2.378,2.347,0.0,0.0, What is the weather like in San Francisco today?,What is the weather like in San Francisco today?
cpu_small_int8_beam1,commands_short.wav,2.326,2.296,0.0,0.0, Set a timer for five minutes.,Set a timer for five minutes.
cpu_small_int8_beam1,countries.wav,2.994,2.931,0.087,0.0415," Name 20 countries. Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary,  India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden, Thailand.","Name twenty countries: Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary, India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden, Thailand."
cpu_small_int8_beam1,hen_story.wav,3.1,3.061,0.0426,0.0178," Once upon a time, a little red hen found a grain of wheat.  She asked the dog, the cat, and the duck who would help her plant it but they all refused.  So she planted it herself and in due time the wheat grew tall and golden.","Once upon a time, a little red hen found a grain of wheat. She asked the dog, the cat, and the duck who would help her plant it, but they all refused. So she planted it herself, and in due time the wheat grew tall and golden."
cpu_small_int8_beam1,mixed_hard.wav,2.526,2.535,0.5263,0.4141," On 12 February 2025, Kyrgyzstan and Liechtenstein signed a treaty worth $800 million.","On the twelfth of February twenty twenty five, Kyrgyzstan and Liechtenstein signed a treaty worth eight hundred million dollars."
cpu_small_int8_beam1,money_math.wav,2.771,2.787,0.4286,0.3713, Inflation rose 2.7% last quarter.  A dozen eggs costs $4.99 at the local store.  The budget deficit reached $1.2 trillion.,Inflation rose two point seven percent last quarter. A dozen eggs costs four ninety nine at the local store. The budget deficit reached one point two trillion dollars.
cpu_small_int8_beam1,numbers_times.wav,2.69,2.697,0.4,0.4627, The total comes to $3.50.  The meeting is at 7.30 in the morning.  She was born in 1984.,The total comes to three dollars and fifty cents. The meeting is at seven thirty in the morning. She was born in nineteen eighty four.
cpu_small_int8_beam1,proper_nouns.wav,2.811,2.755,0.1429,0.0472," Burkina Faso, Eritrea, Kazakhstan, Kurdistan, Liechtenstein, Mozambique, Turkmenistan and  Zimbabwe are all sovereign nations.","Burkina Faso, Eritrea, Kazakhstan, Kyrgyzstan, Liechtenstein, Mozambique, Turkmenistan, and Zimbabwe are all sovereign nations."
cpu_small_int8_beam1,year_2026.wav,2.373,2.39,0.3846,0.3971, the year 2026 has been quite eventful so far.,The year two thousand and twenty six has been quite eventful so far.
vm_cpu_base_beam0_clean,commands_lights.wav,8.291,1.609,0.0,0.0, Turn off the living room lights please.,Turn off the living room lights please.
vm_cpu_base_beam0_clean,commands_medium.wav,1.639,1.645,0.0,0.0, What is the weather like in San Francisco today?,What is the weather like in San Francisco today?
vm_cpu_base_beam0_clean,commands_short.wav,1.574,1.489,0.3333,0.1724, Set a timer for 5 minutes,Set a timer for five minutes.
vm_cpu_base_beam0_clean,countries.wav,2.482,2.45,0.087,0.0466," Name 20 countries. Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary,  India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden,  Thailand.","Name twenty countries: Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary, India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden, Thailand."
vm_cpu_base_beam0_clean,hen_story.wav,2.634,2.731,0.0,0.0089," Once upon a time, a little red hen found a grain of wheat.  She asked the dog, the cat, and the duck who would help her plant it, but they all refused.  So she planted it herself, and in due time the wheat grew tall and golden.","Once upon a time, a little red hen found a grain of wheat. She asked the dog, the cat, and the duck who would help her plant it, but they all refused. So she planted it herself, and in due time the wheat grew tall and golden."
vm_cpu_base_beam0_clean,mixed_hard.wav,2.053,2.051,0.5263,0.3906," On the 12th of February 2025,  Courgaston and Lichtenstein signed a treaty worth $800 million.","On the twelfth of February twenty twenty five, Kyrgyzstan and Liechtenstein signed a treaty worth eight hundred million dollars."
vm_cpu_base_beam0_clean,money_math.wav,3.373,3.374,0.4643,0.3713, Inflation rose 2.7% last quarter. A dozen eggs cost $4.99 at the local store. The budget deficit  reached $1.2 trillion.,Inflation rose two point seven percent last quarter. A dozen eggs costs four ninety nine at the local store. The budget deficit reached one point two trillion dollars.
vm_cpu_base_beam0_clean,numbers_times.wav,2.024,2.73,0.4,0.4627, The total comes to $3.50.  The meeting is at 7.30 in the morning.  She was born in 1984.,The total comes to three dollars and fifty cents. The meeting is at seven thirty in the morning. She was born in nineteen eighty four.
vm_cpu_base_beam0_clean,proper_nouns.wav,2.298,2.142,0.1429,0.0394," Burkina Faso, Eritrea, Kazakhstan, Kurdistan, Lichtenstein, Mozambique, Turkmenistan, and Zimbabwe are all sovereign nations.","Burkina Faso, Eritrea, Kazakhstan, Kyrgyzstan, Liechtenstein, Mozambique, Turkmenistan, and Zimbabwe are all sovereign nations."
vm_cpu_base_beam0_clean,year_2026.wav,1.78,1.776,0.3077,0.3235, The year 2000 and 26 has been quite eventful so far.,The year two thousand and twenty six has been quite eventful so far.
cuda_tiny_float16_beam1_clean,commands_lights.wav,0.412,0.125,0.1429,0.0256," Turn off the living room lights, please.",Turn off the living room lights please.
cuda_tiny_float16_beam1_clean,commands_medium.wav,0.126,0.128,0.0,0.0, What is the weather like in San Francisco today?,What is the weather like in San Francisco today?
cuda_tiny_float16_beam1_clean,commands_short.wav,0.114,0.116,0.1667,0.1379, Set a timer for 5 minutes.,Set a timer for five minutes.
cuda_tiny_float16_beam1_clean,countries.wav,0.279,0.274,0.087,0.057," Name 20 countries.  Afghanistan, Brazil, Canada, Denmark, Egypt, Finland,  Germany, Hungary, India, Japan, Kenya, Lithuania,  Mexico, Nigeria, Oman, Portugal, Qatar, Romania,  Sweden, Thailand.","Name twenty countries: Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary, India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden, Thailand."
cuda_tiny_float16_beam1_clean,hen_story.wav,0.287,0.273,0.0426,0.0133," Once upon a time, a little red-hen found a grain of wheat.  She asked the dog, the cat, and the duck who would help her plant it, but they all refused.  So she planted it herself, and in due time the wheat grew tall and golden.","Once upon a time, a little red hen found a grain of wheat. She asked the dog, the cat, and the duck who would help her plant it, but they all refused. So she planted it herself, and in due time the wheat grew tall and golden."
cuda_tiny_float16_beam1_clean,mixed_hard.wav,0.165,0.175,0.4737,0.3516," On the 12th of February 2025, Kyrgyzstan and Lichtenstein signed a treaty worth $800 million.","On the twelfth of February twenty twenty five, Kyrgyzstan and Liechtenstein signed a treaty worth eight hundred million dollars."
cuda_tiny_float16_beam1_clean,money_math.wav,0.208,0.199,0.4643,0.3772, inflation rose 2.7% last quarter.  A dozen eggs cost 499 at the local store.  The budget deficit reached $1.2 trillion.,Inflation rose two point seven percent last quarter. A dozen eggs costs four ninety nine at the local store. The budget deficit reached one point two trillion dollars.
cuda_tiny_float16_beam1_clean,numbers_times.wav,0.191,0.188,0.4,0.4627, The total comes to $3.50.  The meeting is at 7.30 in the morning.  She was born in 1984.,The total comes to three dollars and fifty cents. The meeting is at seven thirty in the morning. She was born in nineteen eighty four.
cuda_tiny_float16_beam1_clean,proper_nouns.wav,0.222,0.225,0.1429,0.0551," Burkina Faso, Eritrea, Kazakhstan, Kurdistan,  Lichtenstein, Mozambique, Turkmenistan,  and Zimbabwe are all sovereign nations.","Burkina Faso, Eritrea, Kazakhstan, Kyrgyzstan, Liechtenstein, Mozambique, Turkmenistan, and Zimbabwe are all sovereign nations."
cuda_tiny_float16_beam1_clean,year_2026.wav,0.136,0.145,0.3077,0.3235, The year 2000 and 26 has been quite eventful so far.,The year two thousand and twenty six has been quite eventful so far.
cuda_base_float16_beam1_clean,commands_lights.wav,0.492,0.153,0.0,0.0, Turn off the living room lights please.,Turn off the living room lights please.
cuda_base_float16_beam1_clean,commands_medium.wav,0.162,0.155,0.0,0.0, What is the weather like in San Francisco today?,What is the weather like in San Francisco today?
cuda_base_float16_beam1_clean,commands_short.wav,0.135,0.134,0.1667,0.1379, Set a timer for 5 minutes.,Set a timer for five minutes.
cuda_base_float16_beam1_clean,countries.wav,0.323,0.321,0.087,0.0466," Name 20 countries. Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary,  India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden,  Thailand.","Name twenty countries: Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary, India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden, Thailand."
cuda_base_float16_beam1_clean,hen_story.wav,0.376,0.36,0.0213,0.0222," Once upon a time, a little red hen found a grain of wheat.  She asked the dog, the cat, and the duck who would help her plant it,  but they all refused.  So she planted it herself, and in due time,  the wheat grew tall and golden.","Once upon a time, a little red hen found a grain of wheat. She asked the dog, the cat, and the duck who would help her plant it, but they all refused. So she planted it herself, and in due time the wheat grew tall and golden."
cuda_base_float16_beam1_clean,mixed_hard.wav,0.218,0.217,0.5263,0.3906," On the 12th of February 2025,  Courgaston and Lichtenstein signed a treaty worth $800 million.","On the twelfth of February twenty twenty five, Kyrgyzstan and Liechtenstein signed a treaty worth eight hundred million dollars."
cuda_base_float16_beam1_clean,money_math.wav,0.26,0.27,0.4286,0.3713, Inflation rose 2.7% last quarter.  A dozen eggs costs $4.99 at the local store.  The budget deficit reached $1.2 trillion.,Inflation rose two point seven percent last quarter. A dozen eggs costs four ninety nine at the local store. The budget deficit reached one point two trillion dollars.
cuda_base_float16_beam1_clean,numbers_times.wav,0.235,0.231,0.4,0.4627, The total comes to $3.50.  The meeting is at 7.30 in the morning.  She was born in 1984.,The total comes to three dollars and fifty cents. The meeting is at seven thirty in the morning. She was born in nineteen eighty four.
cuda_base_float16_beam1_clean,proper_nouns.wav,0.288,0.286,0.1429,0.0866," Burkina Faso, Eritrea, Kazakhstan, Kurdistan,  Lyftinstein, Mozambique, Turkmenistan,  and Zimbabwe are all sovereign nations.","Burkina Faso, Eritrea, Kazakhstan, Kyrgyzstan, Liechtenstein, Mozambique, Turkmenistan, and Zimbabwe are all sovereign nations."
cuda_base_float16_beam1_clean,year_2026.wav,0.17,0.159,0.3077,0.3235, The year 2000 and 26 has been quite eventful so far.,The year two thousand and twenty six has been quite eventful so far.
cuda_small_float16_beam1_clean,commands_lights.wav,0.522,0.229,0.0,0.0, Turn off the living room lights please.,Turn off the living room lights please.
cuda_small_float16_beam1_clean,commands_medium.wav,0.232,0.242,0.0,0.0, What is the weather like in San Francisco today?,What is the weather like in San Francisco today?
cuda_small_float16_beam1_clean,commands_short.wav,0.205,0.235,0.0,0.0, Set a timer for five minutes.,Set a timer for five minutes.
cuda_small_float16_beam1_clean,countries.wav,0.611,0.574,0.087,0.0466," Name 20 countries.  Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary, India, Japan, Kenya,  Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden, Thailand.","Name twenty countries: Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary, India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden, Thailand."
cuda_small_float16_beam1_clean,hen_story.wav,0.636,0.611,0.0426,0.0178," Once upon a time, a little red hen found a grain of wheat.  She asked the dog, the cat, and the duck who would help her plant it but they all refused.  So she planted it herself and in due time the wheat grew tall and golden.","Once upon a time, a little red hen found a grain of wheat. She asked the dog, the cat, and the duck who would help her plant it, but they all refused. So she planted it herself, and in due time the wheat grew tall and golden."
cuda_small_float16_beam1_clean,mixed_hard.wav,0.324,0.338,0.5263,0.4141," On 12 February 2025, Kyrgyzstan and Liechtenstein signed a treaty worth $800 million.","On the twelfth of February twenty twenty five, Kyrgyzstan and Liechtenstein signed a treaty worth eight hundred million dollars."
cuda_small_float16_beam1_clean,money_math.wav,0.467,0.469,0.4286,0.3713, Inflation rose 2.7% last quarter.  A dozen eggs costs 4.99 at the local store.  The budget deficit reached $1.2 trillion.,Inflation rose two point seven percent last quarter. A dozen eggs costs four ninety nine at the local store. The budget deficit reached one point two trillion dollars.
cuda_small_float16_beam1_clean,numbers_times.wav,0.403,0.406,0.4,0.4627, The total comes to $3.50.  The meeting is at 7.30 in the morning.  She was born in 1984.,The total comes to three dollars and fifty cents. The meeting is at seven thirty in the morning. She was born in nineteen eighty four.
cuda_small_float16_beam1_clean,proper_nouns.wav,0.49,0.485,0.0714,0.0157," Burkina Faso, Eritrea, Kazakhstan, Kyrgyzstan, Liechtenstein, Mozambique, Turkmenistan and  Zimbabwe are all sovereign nations.","Burkina Faso, Eritrea, Kazakhstan, Kyrgyzstan, Liechtenstein, Mozambique, Turkmenistan, and Zimbabwe are all sovereign nations."
cuda_small_float16_beam1_clean,year_2026.wav,0.257,0.254,0.3846,0.3971, the year 2026 has been quite eventful so far.,The year two thousand and twenty six has been quite eventful so far.
PROD_small_gpu_live,commands_lights.wav,1.833,0.24,0.0,0.0, Turn off the living room lights please.,Turn off the living room lights please.
PROD_small_gpu_live,commands_medium.wav,0.234,0.257,0.0,0.0, What is the weather like in San Francisco today?,What is the weather like in San Francisco today?
PROD_small_gpu_live,commands_short.wav,0.209,0.215,0.0,0.0, Set a timer for five minutes.,Set a timer for five minutes.
PROD_small_gpu_live,countries.wav,0.626,0.612,0.087,0.0466," Name 20 countries.  Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary, India, Japan, Kenya,  Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden, Thailand.","Name twenty countries: Afghanistan, Brazil, Canada, Denmark, Egypt, Finland, Germany, Hungary, India, Japan, Kenya, Lithuania, Mexico, Nigeria, Oman, Portugal, Qatar, Romania, Sweden, Thailand."
PROD_small_gpu_live,hen_story.wav,0.752,0.665,0.0426,0.0178," Once upon a time, a little red hen found a grain of wheat.  She asked the dog, the cat, and the duck who would help her plant it but they all refused.  So she planted it herself and in due time the wheat grew tall and golden.","Once upon a time, a little red hen found a grain of wheat. She asked the dog, the cat, and the duck who would help her plant it, but they all refused. So she planted it herself, and in due time the wheat grew tall and golden."
PROD_small_gpu_live,mixed_hard.wav,0.344,0.38,0.5263,0.4141," On 12 February 2025, Kyrgyzstan and Liechtenstein signed a treaty worth $800 million.","On the twelfth of February twenty twenty five, Kyrgyzstan and Liechtenstein signed a treaty worth eight hundred million dollars."
PROD_small_gpu_live,money_math.wav,0.467,0.472,0.4286,0.3713, Inflation rose 2.7% last quarter.  A dozen eggs costs 4.99 at the local store.  The budget deficit reached $1.2 trillion.,Inflation rose two point seven percent last quarter. A dozen eggs costs four ninety nine at the local store. The budget deficit reached one point two trillion dollars.
PROD_small_gpu_live,numbers_times.wav,0.466,0.477,0.4,0.4627, The total comes to $3.50.  The meeting is at 7.30 in the morning.  She was born in 1984.,The total comes to three dollars and fifty cents. The meeting is at seven thirty in the morning. She was born in nineteen eighty four.
PROD_small_gpu_live,proper_nouns.wav,0.541,0.574,0.0714,0.0157," Burkina Faso, Eritrea, Kazakhstan, Kyrgyzstan, Liechtenstein, Mozambique, Turkmenistan and  Zimbabwe are all sovereign nations.","Burkina Faso, Eritrea, Kazakhstan, Kyrgyzstan, Liechtenstein, Mozambique, Turkmenistan, and Zimbabwe are all sovereign nations."
PROD_small_gpu_live,year_2026.wav,0.252,0.264,0.3846,0.3971, the year 2026 has been quite eventful so far.,The year two thousand and twenty six has been quite eventful so far.
